source_region_id|dest_region_id|time|cost
1|1|1|5.50
1|1|2|3.00
1|1|3|2.50
1|1|5|2.00
1|1|10|1.00
1|2|1|12.00
1|2|2|9.50
1|2|3|6.50
1|2|5|5.00
1|2|10|3.00
1|3|1|18.25
1|3|2|15.00
1|3|3|9.25
1|3|5|7.00
1|3|10|4.50
1|4|1|22.40
1|4|2|17.40
1|4|3|12.55
1|4|5|8.55
1|4|10|5.70
2|2|1|5.50
2|2|2|3.00
2|2|3|2.50
2|2|5|2.00
2|2|10|1.00
2|3|1|12.00
2|3|2|9.50
2|3|3|6.50
2|3|5|5.00
2|3|10|3.00
2|4|1|18.25
2|4|2|15.00
2|4|3|9.25
2|4|5|7.00
2|4|10|4.50
3|3|1|5.50
3|3|2|3.00
3|3|3|2.50
3|3|5|2.00
3|3|10|1.00
3|4|1|12.00
3|4|2|9.50
3|4|3|6.50
3|4|5|5.00
3|4|10|3.00
4|4|1|5.50
4|4|2|3.00
4|4|3|2.50
4|4|5|2.00
4|4|10|1.00
